# atom   nres   name    charge        NPBC_SLV        NPBC_VAC         PBC_SLV         PBC_VAC      FFT_LS_PBC      FFT_RF_PBC
     1      1     O1   -0.1637    -208.3690910    -300.8945554    -207.7967641    -277.6599650      62.6027392      45.9175536
     2      1     C7    0.1840     139.3563501      51.9620320     139.9606369      75.2290230      57.0341030      48.5672276
     3      1     O2   -0.1637    -240.9633513    -333.4824065    -240.3724457    -310.2122596      67.5417719      52.8212474
     4      1     C3   -0.0213     -29.1289206    -102.5229972     -28.5196833     -79.3180435      51.8857014      38.5978035
     5      1     C4   -0.0218     -45.4096264    -109.7166005     -44.8342043     -86.6140069      41.2516526      29.2920478
     6      1     C5   -0.0308     -79.8548492    -133.3044106     -79.3042882    -110.3474976      30.0777774      18.4295414
     7      1     C6   -0.0312     -72.8658650    -123.3576837     -72.3198982    -100.4508814      27.5013417      17.1833603
     8      1     C1   -0.0318     -35.0660746     -90.8212043     -34.5095773     -67.8161039      33.0349048      22.2654387
     9      1     C2    0.0182     -31.7132251     -99.3098926     -31.1150533     -76.1534987      46.3176830      33.7712885
    10      1     O3   -0.0684    -135.2574154    -209.2909797    -134.6649190    -186.1030518      53.2355398      40.2027333
    11      1     C8    0.1324      95.8598758      24.8000937      96.4361181      47.9613995      47.2212905      36.2827072
    12      1     O4   -0.1088    -140.3971904    -216.5987151    -139.8632957    -193.5074348      47.1938883      36.1247136
    13      1     C9   -0.0426       3.8586538     -53.5205995       4.4027450     -30.4093083      34.4300883      22.7711999
    14      1      H    0.0174       2.2521605     -57.0512527       2.7803719     -33.9141974      34.3128017      22.4456232
    15      1     H1    0.0174      14.5310454     -38.3116191      15.0335179     -15.2721411      29.6557900      18.7720487
    16      1     H2    0.0174      21.3379069     -26.5460914      21.8358859      -3.5086440      25.4195528      13.9708428
    17      1     H3    0.0284       8.2419272     -56.0190039       8.7704700     -32.9487553      41.2875262      27.9158792
    18      1     H4    0.0220       2.9152726     -43.3287866       3.3990756     -20.5217253      22.2522081      12.1211678
    19      1     H5    0.0218       2.9141808     -39.3670295       3.3985642     -16.6322434      18.2935913       9.3435998
    20      1     H6    0.0248       7.3481507     -41.2537519       7.8516583     -18.3367418      24.3663380      15.0054295

